INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,TRANSFOTHINC,SSRETINC,ASSET,DEBT,NETWORTH,HOUSES,MRTHEL,NFIN,FIN,ODEBT,LIQ,BOND,STOCKS,IRAKH,OTHMA,WGT,AGE,Age Group,NETHOUSE,NETFIN,NETHOUSECLIPPED,NETHOUSEDIFF,NETWORTHADJUSTED,isPersonalQualified,isIncomeQualified,isFinancialQualified,PERCENTLIQUIDASSETS,PERCENTILLIQUIDASSETS,PERCENTSTOCKS,PERCENTBOND,PERCENTFINOTHERS,PERCENTFIXEDINCOME,PERCENTVARIABLEINCOME,PERCENTOTHERINCOME,COMMITMENTAMOUNT
557071.68837112,364926.64077662,201082.02654982,104.26475450859,-8936.978958075999,0.0,0.0,3664101.9999999995,1299853.6199999999,2364248.38,1102400.0,690378.0,2783560.0,880541.9999999999,0.0,666952.0,0.0,13779.999999999998,172250.0,0.0,9850.0140561,33,26-35,412022.0,880541.9999999999,412022.0,0.0,2364248.38,True,True,False,0.7574334898278561,0.24256651017214392,0.01564945226917058,0.0,0.22691705790297334,0.6550802139014945,0.34510695186896034,-0.00018716577045485572,2126441.67390609
347052.68286597996,342584.19338832,0.0,0.0,4170.5901803436,0.0,0.0,1366976.0,542932.0,824043.9999999999,490567.99999999994,542932.0,490567.99999999994,876407.9999999999,0.0,8268.0,0.0,620100.0,0.0,0.0,8566.9457211,35,26-35,-52364.00000000006,876407.9999999999,-52364.00000000006,0.0,824043.9999999999,False,True,False,0.009433962264150945,0.9905660377358491,0.7075471698113208,0.0,0.28301886792452824,0.9871244635230624,0.01201716738191631,0.0008583690950213115,936173.0147338589
1489496.4929207999,1489496.4929207999,0.0,1489.4964929207997,0.0,0.0,0.0,2868238.0999999996,0.0,2868238.0999999996,0.0,0.0,275600.0,2592638.0999999996,0.0,222409.19999999998,0.0,551200.0,0.0,206699.99999999997,7301.8899933,26,26-35,0.0,2592638.0999999996,0.0,0.0,2868238.0999999996,True,True,True,0.08578489994419199,0.914215100055808,0.21260198251348697,0.0,0.701613117542321,1.0,0.0009999999999999998,-0.0009999999999999998,38961.762607358105
381311.10219929996,297899.29859793995,53621.873747077996,0.0,29789.929859794,0.0,0.0,4262567.399999999,1324395.7999999998,2938171.5999999996,1102400.0,1019719.9999999999,3088097.9999999995,1174469.4,0.0,237429.4,0.0,620100.0,165360.0,0.0,11146.889763,30,26-35,82680.00000000012,1174469.4,82680.00000000012,0.0,2938171.5999999996,True,True,True,0.20215886424967736,0.7978411357503227,0.5279831045406548,0.0,0.2698580312096679,0.7812500000124225,0.2187500000020328,-1.4455298069648848e-11,1480215.0789013305
314283.76002061996,314283.76002061996,0.0,372.37412324397997,0.0,0.0,0.0,1026885.6,150477.59999999998,876407.9999999999,0.0,0.0,85436.0,941449.6,0.0,907688.6,0.0,7854.599999999999,0.0,0.0,8273.0705242,34,26-35,0.0,941449.6,0.0,0.0,876407.9999999999,False,True,False,0.9641393442622951,0.035860655737704916,0.008343091334894612,0.0,0.02751756440281028,1.0,0.0011848341232125667,-0.0011848341232125667,586933.135413436
656867.95340894,633036.0095189,0.0,7745.381763573999,16384.461422679997,0.0,0.0,622856.0,13779.999999999998,609076.0,0.0,0.0,17914.0,604942.0,0.0,38584.0,0.0,26181.999999999996,68900.0,0.0,3705.876041,29,26-35,0.0,604942.0,0.0,0.0,609076.0,False,True,False,0.06378132118451026,0.9362186788154897,0.04328018223234623,0.0,0.8929384965831435,0.963718820858348,0.03673469387725132,-0.00045351473559935435,623256.8861822971
801349.1132233599,0.0,786454.1483024198,1489.4964929207997,0.0,14299.166332645998,0.0,8474700.0,1240200.0,7234499.999999999,2273700.0,1240200.0,6706725.999999999,1767973.9999999998,0.0,260441.99999999997,0.0,155714.0,621478.0,0.0,3596.7780046,31,26-35,1033500.0,1767973.9999999998,1000000.0,33500.0,7200999.999999999,True,True,True,0.14731098986749805,0.852689010132502,0.08807482462977398,0.0,0.764614185502728,0.0,0.9832713754756689,0.016728624524331104,2282932.3785452936
424506.50050171994,417059.01803435996,2978.9929859794,744.7482464879599,3425.8419338831995,0.0,0.0,4048591.5599999996,636511.98,3412079.5799999996,0.0,0.0,2451462.0,1597129.5599999998,0.0,95109.56,0.0,68900.0,723450.0,689000.0,7912.2831604,33,26-35,0.0,1597129.5599999998,0.0,0.0,3412079.5799999996,True,True,True,0.05955030974443927,0.9404496902555607,0.043139894048420224,0.0,0.8973097962071405,0.9824561403451822,0.016842105263171564,0.0007017543916461866,2121011.853107931
418548.51452231995,417059.01803435996,0.0,0.0,0.0,0.0,0.0,192230.99999999997,22048.0,170183.0,0.0,0.0,53741.99999999999,138489.0,0.0,28248.999999999996,0.0,0.0,0.0,0.0,13676.337644,26,26-35,0.0,138489.0,0.0,0.0,170183.0,False,True,False,0.20398009950248755,0.7960199004975125,0.0,0.0,0.7960199004975125,0.9964412811507408,0.0,0.0035587188492591793,97131.42780974992
327689.22845359996,327689.22845359996,0.0,0.0,0.0,0.0,0.0,522261.99999999994,300679.6,221582.4,427179.99999999994,261819.99999999997,501591.99999999994,20670.0,0.0,20670.0,0.0,0.0,0.0,0.0,7597.5195099,32,26-35,165359.99999999997,20670.0,165359.99999999997,0.0,221582.4,False,True,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,215577.8261682198
