Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 
  69 Year,48728,47717,44286,41763,40164,40540,38988,37027,36699,24727,19377,23858,20490,20814,24059,23853,22926,18801,15770,16452,18933,17055,16554,15992,15248,15507,15263,14805,14200,12822,11960,11451,11494,11323,10480,10626,9970,10035,9797,9056,9196,8899,9336,9147,8914
  70 Year,47111,44118,41588,38931,39934,38506,36520,36127,24362,19074,23491,20129,20417,23664,23478,22567,18460,15511,16140,18511,16705,15714,15604,14868,15088,14875,14422,13843,12515,11617,11121,11096,10920,10072,10300,9589,9738,9557,8800,8898,8613,9015,8833,8568,8149
  71 Year,43471,41299,38742,38621,37916,35932,35584,23995,18785,23113,19787,20068,23246,23076,22146,18148,15197,15791,18137,16340,15337,14741,14464,14648,14552,14027,13470,12179,11255,10777,10645,10488,9683,9899,9283,9408,9288,8526,8549,8313,8729,8514,8230,7832,7108
  72 Year,40745,38458,38347,36635,35297,34933,23585,18428,22706,19408,19663,22763,22584,21684,17798,14910,15395,17700,15963,14930,14421,13569,14228,14119,13611,13083,11786,10915,10360,10217,10051,9276,9497,8905,9103,8997,8234,8229,8004,8385,8202,7871,7460,6797,6770
  73 Year,37810,38092,36268,34026,34247,23130,18057,22279,19089,19277,22290,22093,21200,17393,14556,15029,17194,15517,14515,13979,13208,13268,13635,13178,12696,11401,10568,9993,9723,9595,8850,9069,8480,8667,8742,7936,7910,7714,8063,7890,7528,7098,6490,6443,5685
  74 Year,37384,35923,33639,33113,22614,17626,21800,18665,18854,21759,21584,20693,16967,14256,14640,16774,15061,14112,13562,12785,12814,12710,12711,12235,11001,10208,9609,9246,9105,8392,8616,8059,8207,8326,7619,7569,7396,7702,7542,7186,6748,6167,6084,5424,5041
  75 Year,35245,33193,32610,21754,17196,21317,18248,18403,21238,21031,20177,16545,13855,14256,16263,14608,13673,13141,12375,12377,12239,10866,11724,10565,9833,9226,8749,8582,7947,8133,7615,7765,7878,7248,7201,na,na,na,na,na,na,na,na,na,4539
  76 Year,32416,32051,21370,16549,20753,17819,17911,20707,20456,19593,16085,13452,13848,15715,14077,13207,12637,11921,11930,11775,10693,9858,10121,9376,8789,8284,8091,7534,7635,7168,7335,7389,6849,6789,6776,na,na,na,na,na,na,na,na,na,4040
  77 Year,31279,20959,16222,19950,17302,17443,20150,19863,19056,15605,13037,13379,15218,13580,12700,12172,11452,11429,11309,10322,9685,8345,8948,8384,7780,7581,7107,7152,6703,6871,6944,6387,6375,6373,6668,na,na,na,na,na,na,na,na,na,3709
  78 Year,20402,15834,19460,16576,16902,19504,19219,18442,15079,12601,12927,14676,13081,12206,11682,11018,10951,10809,9915,9296,8164,7241,7947,7431,7079,6643,6679,6233,6412,6432,5980,5954,5932,6229,6263,na,na,na,na,na,na,na,na,na,3229
